Term,Term,Genes,P-value,Overlap,CALU3_4H,CALU3_8H,CALU3_12H,CALU3_24H,H1299_4H,H1299_12H,H1299_24H,H1299_36H
Glycerophospholipid metabolism,Glycerophospholipid metabolism,PTDSS1;CRLS1;PLD2,3.872272902959414e-05,3/97,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.020618556701030927,0.020618556701030927
Ferroptosis,Ferroptosis,SLC3A2;SLC7A11,0.00034955273047183893,2/40,0.05,0.025,0.05,0.025,0.0,0.0,0.0,0.0
Sphingolipid signaling pathway,Sphingolipid signaling pathway,SGMS1;PLD2,0.003048659628690299,2/119,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.01680672268907563,0.01680672268907563,0.01680672268907563,0.01680672268907563
mTOR signaling pathway,mTOR signaling pathway,SLC7A5;SLC3A2,0.0049178720168914355,2/152,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0
Selenocompound metabolism,Selenocompound metabolism,CTH,0.01183818865932929,1/17,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705
"Glycine, serine and threonine metabolism","Glycine, serine and threonine metabolism",CTH,0.027647586728505463,1/40,0.0,0.0,0.0,0.0,0.025,0.025,0.0,0.025
Fat digestion and absorption,Fat digestion and absorption,SLC27A4,0.02832959509733448,1/41,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025
Sphingolipid metabolism,Sphingolipid metabolism,SGMS1,0.032412326817738916,1/47,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
Cysteine and methionine metabolism,Cysteine and methionine metabolism,CTH,0.032412326817738916,1/47,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085
Ether lipid metabolism,Ether lipid metabolism,PLD2,0.032412326817738916,1/47,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085
Central carbon metabolism in cancer,Central carbon metabolism in cancer,SLC7A5,0.04456515191829398,1/65,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0
