,Series,RECON,SKO_Safe_Sym,SKO_Toxic_Sym,SKO_Unknown_Sym,SKO_All
0,S16,2,"{'CTH', 'CMPK1', 'GUK1', 'PTDSS1'}","{'SGMS1', 'CRLS1'}",{'SLC5A3'},"{'CRLS1', 'PTDSS1', 'SLC5A3', 'CTH', 'GUK1', 'SGMS1', 'CMPK1'}"
1,S16,3D,"{'SLC7A9', 'PTDSS1', 'GUK1', 'SLC3A1'}","{'CRLS1', 'SLC2A13', 'PEPD'}",{'NaN'},"{'CRLS1', 'SLC7A9', 'PTDSS1', 'SLC2A13', 'PEPD', 'GUK1', 'SLC3A1'}"
2,S1,2,{'NaN'},"{'CRLS1', 'SLC5A3', 'CTH', 'GUK1', 'SGMS1', 'SLC27A4', 'CMPK1'}",{'NaN'},"{'CRLS1', 'SLC5A3', 'CTH', 'GUK1', 'SGMS1', 'SLC27A4', 'CMPK1'}"
3,S1,3D,"{'SLC7A9', 'SLC3A1'}","{'SGMS1', 'GUK1', 'PTDSS1', 'CRLS1'}",{'SLC5A3'},"{'CRLS1', 'SLC7A9', 'PTDSS1', 'SLC5A3', 'GUK1', 'SGMS1', 'SLC3A1'}"
4,S2,2,{'NaN'},"{'SGMS1', 'CRLS1'}",{'NaN'},"{'SGMS1', 'CRLS1'}"
5,S2,3D,"{'SLC3A2', 'SLC7A11'}","{'SGMS1', 'ISYNA1', 'CRLS1'}",{'NaN'},"{'CRLS1', 'SLC3A2', 'SLC7A11', 'SGMS1', 'ISYNA1'}"
6,S5,2,{'DTYMK'},"{'SGMS1', 'GUK1', 'CRLS1'}",{'NaN'},"{'SGMS1', 'GUK1', 'DTYMK', 'CRLS1'}"
7,S5,3D,"{'GUK1', 'PEPD'}","{'CRLS1', 'SLC3A2', 'SLC7A11', 'SGMS1', 'ISYNA1'}",{'NaN'},"{'CRLS1', 'SLC3A2', 'SLC7A11', 'PEPD', 'GUK1', 'SGMS1', 'ISYNA1'}"
8,S6,2,"{'DHFR', 'TYMS', 'AGXT', 'SLC27A4'}","{'SGMS1', 'GUK1', 'CRLS1'}",{'NaN'},"{'CRLS1', 'DHFR', 'TYMS', 'GUK1', 'SGMS1', 'AGXT', 'SLC27A4'}"
9,S6,3D,{'NaN'},"{'SGMS1', 'GUK1', 'PEPD', 'CRLS1'}",{'NaN'},"{'SGMS1', 'CRLS1', 'PEPD', 'GUK1'}"
10,S7,2,"{'CMPK1', 'SLC27A4'}","{'SGMS1', 'GUK1', 'CRLS1'}",{'NaN'},"{'CRLS1', 'GUK1', 'SGMS1', 'SLC27A4', 'CMPK1'}"
11,S7,3D,{'CMPK1'},"{'SGMS1', 'GUK1', 'PEPD', 'CRLS1'}",{'NaN'},"{'CRLS1', 'GUK1', 'PEPD', 'SGMS1', 'CMPK1'}"
