Series,RECON,SKO_Safe,SKO_Toxic,SKO_Unknown
Calu3_12h,2.mat,"10999,51477","259230,2987,54675,8140",
Calu3_12h,3D.mat,"8140","23657,259230,2987,51477,5184,54675,6520",
Calu3_24h,2.mat,"","10999,259230,2987,51477,54675,8140",
Calu3_24h,3D.mat,"9791","23657,2987,51228,51477,54675,6520",
Calu3_4h,2.mat,"","10999,259230,2987,54675",
Calu3_4h,3D.mat,"51228","23657,259230,2987,51477,5184,54675,6520",
Calu3_8h,2.mat,"","","54675,8140,2987,10999,259230"
Calu3_8h,3D.mat,"","","6520,54675,23657,51477,259230,5184,2987,51228"
H1299_12h,2.mat,"","","9057,54675,1491,10999,5338,259230"
H1299_12h,3D.mat,"","","54675,51477,259230,5184"
H1299_24h,2.mat,"","","9057,54675,10999,5338,259230"
H1299_24h,3D.mat,"","","54675,51477,259230,5184"
H1299_36h,2.mat,"9057","10999,1491,259230,5338,54675",
H1299_36h,3D.mat,"5184","259230,51477,54675",
H1299_4h,2.mat,"1491","10999,259230,5338,54675,9057",
H1299_4h,3D.mat,"","259230,51477,54675",
