Series,SKO_Safe_Sym,SKO_Toxic_Sym,SKO_Unknown_Sym,SKO_All,Time_Point
CALU3_4H,GLTP,CRLS1; GUK1; ISYNA1; PEPD; SGMS1; SLC27A4; SLC3A2; SLC7A11,['NaN'],CRLS1; GLTP; GUK1; ISYNA1; PEPD; SGMS1; SLC27A4; SLC3A2; SLC7A11,4
CALU3_8H,NaN,NaN,"['CRLS1' 'GLTP' 'GUK1' 'ISYNA1' 'PEPD' 'SGMS1' 'SLC27A4' 'SLC3A2'
 'SLC7A11' 'SLC7A5']",NaN,8
CALU3_12H,ISYNA1; SLC27A4; SLC7A5,CRLS1; GUK1; ISYNA1; PEPD; SGMS1; SLC3A2; SLC7A11; SLC7A5,['NaN'],CRLS1; GUK1; ISYNA1; PEPD; SGMS1; SLC27A4; SLC3A2; SLC7A11; SLC7A5,12
CALU3_24H,NaN; PTDSS1,"CRLS1; GLTP; GUK1; ISYNA1; SGMS1; SLC27A4; SLC3A2; SLC7A11
; SLC7A5",['NaN'],"CRLS1; GLTP; GUK1; ISYNA1; PTDSS1; SGMS1; SLC27A4; SLC3A2; SLC7A11
; SLC7A5",24
H1299_4H,CTH,CRLS1; ISYNA1; PLD2; SGMS1; SLC27A4; SLC7A6,['NaN'],CRLS1; CTH; ISYNA1; PLD2; SGMS1; SLC27A4; SLC7A6,4
H1299_12H,NaN,NaN,['CRLS1' 'CTH' 'ISYNA1' 'PEPD' 'PLD2' 'SGMS1' 'SLC27A4' 'SLC7A6'],NaN,12
H1299_24H,NaN,NaN,['CRLS1' 'ISYNA1' 'PEPD' 'PLD2' 'SGMS1' 'SLC27A4' 'SLC7A6'],NaN,24
H1299_36H,PEPD; SLC7A6,CRLS1; CTH; ISYNA1; PLD2; SGMS1; SLC27A4,['NaN'],CRLS1; CTH; ISYNA1; PEPD; PLD2; SGMS1; SLC27A4; SLC7A6,36
